Support,Confidence,Coverage,Strength,Lift,Leverage,Antecedent,Consequent
continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,meta,meta
0.348,0.999,0.349,1.588,1.804,0.155,"TP_DEPENDENCIA_ADM_ESC=Estadual, media=(328.25, 502.5]",Cluster=A
0.361,0.999,0.361,1.531,1.804,0.161,"media=(328.25, 502.5]",Cluster=A
0.272,0.999,0.272,2.034,1.805,0.121,"ClasseSocial=E, media=(328.25, 502.5]",Cluster=A
0.244,0.999,0.244,2.269,1.805,0.109,"TP_COR_RACA=Nao Branca, TP_DEPENDENCIA_ADM_ESC=Estadual, media=(328.25, 502.5]",Cluster=A
0.251,0.999,0.252,2.2,1.805,0.112,"TP_COR_RACA=Nao Branca, media=(328.25, 502.5]",Cluster=A
0.265,0.999,0.265,2.085,1.805,0.118,"TP_DEPENDENCIA_ADM_ESC=Estadual, ClasseSocial=E, media=(328.25, 502.5]",Cluster=A
0.221,0.976,0.227,3.432,1.253,0.045,"Cluster=A, ClasseSocial=E, Q024=Nao",TP_DEPENDENCIA_ADM_ESC=Estadual
0.265,0.975,0.272,2.861,1.252,0.053,"ClasseSocial=E, media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.265,0.975,0.272,2.863,1.253,0.053,"Cluster=A, ClasseSocial=E, media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.219,0.974,0.225,3.459,1.251,0.044,"Cluster=A, ClasseSocial=E, Q002=Fundamental",TP_DEPENDENCIA_ADM_ESC=Estadual
0.265,0.974,0.272,1.926,1.858,0.122,"ClasseSocial=E, media=(328.25, 502.5]","Cluster=A, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.257,0.972,0.265,2.943,1.248,0.051,"Cluster=A, Q024=Nao",TP_DEPENDENCIA_ADM_ESC=Estadual
0.244,0.97,0.251,3.098,1.246,0.048,"TP_COR_RACA=Nao Branca, Cluster=A, media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.244,0.97,0.252,3.095,1.246,0.048,"TP_COR_RACA=Nao Branca, media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.271,0.969,0.28,2.785,1.245,0.053,"Cluster=A, Q002=Fundamental",TP_DEPENDENCIA_ADM_ESC=Estadual
0.244,0.969,0.252,2.084,1.848,0.112,"TP_COR_RACA=Nao Branca, media=(328.25, 502.5]","Cluster=A, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.272,0.968,0.281,2.773,1.244,0.053,"TP_COR_RACA=Nao Branca, Cluster=A, ClasseSocial=E",TP_DEPENDENCIA_ADM_ESC=Estadual
0.384,0.966,0.398,1.956,1.241,0.075,"Cluster=A, ClasseSocial=E",TP_DEPENDENCIA_ADM_ESC=Estadual
0.348,0.965,0.361,2.158,1.239,0.067,"Cluster=A, media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.349,0.964,0.361,2.154,1.239,0.067,"media=(328.25, 502.5]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.348,0.963,0.361,1.451,1.837,0.159,"media=(328.25, 502.5]","Cluster=A, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.356,0.957,0.372,2.092,1.229,0.066,"TP_COR_RACA=Nao Branca, Cluster=A",TP_DEPENDENCIA_ADM_ESC=Estadual
0.242,0.953,0.254,2.178,1.721,0.102,"Cluster=B, TP_DEPENDENCIA_ADM_ESC=Estadual","media=(502.5, 676.75]"
0.276,0.951,0.29,2.681,1.222,0.05,"ClasseSocial=E, Q024=Nao",TP_DEPENDENCIA_ADM_ESC=Estadual
0.524,0.947,0.554,1.407,1.217,0.093,Cluster=A,TP_DEPENDENCIA_ADM_ESC=Estadual
0.23,0.943,0.244,3.191,1.212,0.04,"TP_COR_RACA=Nao Branca, Q024=Nao",TP_DEPENDENCIA_ADM_ESC=Estadual
0.284,0.94,0.302,2.58,1.207,0.049,"ClasseSocial=E, Q002=Fundamental",TP_DEPENDENCIA_ADM_ESC=Estadual
0.243,0.928,0.262,2.967,1.191,0.039,"TP_COR_RACA=Nao Branca, Q002=Fundamental",TP_DEPENDENCIA_ADM_ESC=Estadual
0.33,0.927,0.356,2.188,1.19,0.053,Q024=Nao,TP_DEPENDENCIA_ADM_ESC=Estadual
0.352,0.927,0.38,2.05,1.191,0.056,"TP_COR_RACA=Nao Branca, ClasseSocial=E",TP_DEPENDENCIA_ADM_ESC=Estadual
0.267,0.925,0.289,2.694,1.188,0.042,"Cluster=A, Q024=Sim",TP_DEPENDENCIA_ADM_ESC=Estadual
0.519,0.91,0.571,1.364,1.169,0.075,ClasseSocial=E,TP_DEPENDENCIA_ADM_ESC=Estadual
0.367,0.909,0.404,1.929,1.167,0.053,Q002=Fundamental,TP_DEPENDENCIA_ADM_ESC=Estadual
0.246,0.869,0.283,2.747,1.116,0.026,"ClasseSocial=E, media=(502.5, 676.75]",TP_DEPENDENCIA_ADM_ESC=Estadual
0.243,0.867,0.281,2.775,1.113,0.025,"ClasseSocial=E, Q024=Sim",TP_DEPENDENCIA_ADM_ESC=Estadual
0.221,0.861,0.257,2.221,1.508,0.075,"Cluster=A, TP_DEPENDENCIA_ADM_ESC=Estadual, Q024=Nao",ClasseSocial=E
0.227,0.858,0.265,2.158,1.502,0.076,"Cluster=A, Q024=Nao",ClasseSocial=E
0.496,0.854,0.582,1.339,1.096,0.044,TP_COR_RACA=Nao Branca,TP_DEPENDENCIA_ADM_ESC=Estadual
0.206,0.845,0.244,2.34,1.481,0.067,"TP_COR_RACA=Nao Branca, Q024=Nao",ClasseSocial=E
0.276,0.837,0.33,1.731,1.467,0.088,"TP_DEPENDENCIA_ADM_ESC=Estadual, Q024=Nao",ClasseSocial=E
0.221,0.837,0.265,1.964,1.611,0.084,"Cluster=A, Q024=Nao","TP_DEPENDENCIA_ADM_ESC=Estadual, ClasseSocial=E"
0.201,0.836,0.241,2.676,1.297,0.046,Q002=Superior,Q024=Sim
0.366,0.82,0.446,1.24,1.481,0.119,Cluster=B,"media=(502.5, 676.75]"
0.29,0.816,0.356,1.604,1.429,0.087,Q024=Nao,ClasseSocial=E
0.219,0.809,0.271,2.107,1.417,0.065,"Cluster=A, TP_DEPENDENCIA_ADM_ESC=Estadual, Q002=Fundamental",ClasseSocial=E
